Money,Earnings,Rise or fall between days,Rise or fall between weeks
1082.927993,82.927993,-481.3839179,-918.960598
601.5440751,-398.4559249,-185.1476567,-277.8527963
416.3964184,-583.6035816,-98.0193447,-124.311739
318.3770737,-681.6229263,-60.6786395,-52.2800416
257.6984342,-742.3015658,-41.2614728,-13.3461671
216.4369614,-783.5630386,-29.8277504,9.4527703
186.609211,-813.390789,-22.641816,23.448001
163.967395,-836.032605,159.7238838,32.3336943
323.6912788,-676.3087212,-31.6065994,-139.4872621
292.0846794,-707.9153206,-25.9876473,-118.5751754
266.0970321,-733.9029679,-21.744765,-102.1100387
244.3522671,-755.6477329,-18.4625354,-88.8984318
225.8897317,-774.1102683,-15.8325197,-78.1262729
210.057212,-789.942788,-13.7561227,-69.2343259
196.3010893,-803.6989107,-12.0970726,-61.7949037
184.2040167,-815.7959833,-10.6945127,-14.8647245
173.509504,-826.490496,-9.5225106,-11.1663439
163.9869934,-836.0130066,-8.5331581,-8.0858159
155.4538353,-844.5461647,-7.6903765,-5.5038221
147.7634588,-852.2365412,-6.9405727,-3.3278268
140.8228861,-859.1771139,-6.3167005,-1.5112361
134.5061856,-865.4938144,34.8331066,0.0535058
169.3392922,-830.6607078,-6.9961321,-39.2173799
162.3431601,-837.6568399,-6.4419826,-36.3750087
155.9011775,-844.0988225,-5.9511643,-33.8488412
149.9500132,-850.0499868,-5.5143812,-31.5779539
144.435632,-855.564368,-5.123982,-29.5289426
139.31165,-860.68835,-4.7519586,-27.6737135
134.5596914,-865.4403086,-4.4377791,-26.0101624
130.1219123,-869.8780877,-4.1537609,-24.4779589
125.9681514,-874.0318486,-3.9158151,71.6617253
122.0523363,-877.9476637,-3.680277,172.8191154
118.3720593,-881.6279407,-3.4653699,169.1598939
114.9066894,-885.0933106,-3.2687529,165.6416202
111.6379365,-888.3620635,-3.0884075,162.2573164
108.549529,-891.450471,-2.9055756,159.0003233
105.6439534,-894.3560466,91.9859233,155.8472964
197.6298767,-802.3701233,97.241575,148.4892933
294.8714517,-705.1285483,-7.3394985,116.7658449
287.5319532,-712.4680468,-6.9836436,115.3786939
280.5483096,-719.4516904,-6.6530567,113.9974146
273.8952529,-726.1047471,-6.3454006,112.6252411
267.5498523,-732.4501477,-6.0586025,111.2648238
261.4912498,-738.5087502,84.6279202,109.9455176
346.11917,-653.88083,65.5181266,163.559998
411.6372966,-588.3627034,-8.7266495,246.2496718
402.9106471,-597.0893529,-8.3649229,242.8319469
394.5457242,-605.4542758,-8.0252302,239.492111
386.520494,-613.479506,-7.7058179,236.2287518
378.8146761,-621.1853239,-7.3779087,233.0403418
371.4367674,-628.5632326,138.2424006,229.8980735
509.679168,-490.320832,148.2078004,81.5225159
657.8869684,-342.1130316,-12.1443744,-76.4820709
645.742594,-354.257406,-11.7047588,-73.8145876
634.0378352,-365.9621648,-11.2885894,-71.3126131
622.7492458,-377.2507542,-10.8942279,-68.9358107
611.8550179,-388.1449821,-10.520177,-66.6759598
601.3348409,-398.6651591,-10.133157,-64.5255045
591.2016839,-408.7983161,-9.7967864,-62.5093981
581.4048975,-418.5951025,-9.4768911,-60.560151
571.9280064,-428.0719936,-9.2027843,-58.7008345
562.7252221,-437.2747779,-8.911787,-56.9229232
553.8134351,-446.1865649,-8.634377,-55.2246246
545.1790581,-454.8209419,-8.3697217,-53.6012521
536.8093364,-463.1906636,-8.1170506,-52.0484583
528.6922858,-471.3077142,-7.8475393,-50.5622078
520.8447465,-479.1552535,-7.6175746,-49.166861
513.2271719,-486.7728281,-7.424873,-47.8048701
505.8022989,-494.1977011,-7.2134884,21.5701067
498.5888105,-501.4111895,-7.0110045,135.5935686
491.577806,-508.422194,-6.8169279,134.4857195
484.7608781,-515.2391219,-6.6308001,133.3886861
478.130078,-521.869922,-6.4521925,132.3027577
471.6778855,-528.3221145,-6.2555837,131.2281721
465.4223018,-534.5776982,61.9501038,130.1671823
527.3724056,-472.6275944,106.8099735,61.0762786
634.1823791,-365.8176209,-8.1188536,-52.7049801
626.0635255,-373.9364745,-7.9139613,-51.420089
618.1495642,-381.8504358,-7.7167285,-50.1816214
610.4328357,-389.5671643,-7.5267781,-48.9873665
602.9060576,-397.0939424,-7.3165735,-47.8352438
595.5894841,-404.4105159,-7.1407999,-46.7504762
588.4486842,-411.5513158,-6.9712852,-45.703381
581.477399,-418.522601,-6.8339625,-44.6922397
574.6434365,-425.3565635,-6.6754937,-43.6649691
567.9679428,-432.0320572,-6.5224736,-42.6716269
561.4454692,-438.5545308,-6.3746554,-41.7344494
555.0708138,-444.9291862,-6.2318059,-40.8278134
548.8390079,-451.1609921,-6.0937047,-39.9504057
542.7453032,-457.2546968,-5.9601439,-39.1009828
536.7851593,-463.2148407,-5.8066919,-38.2783668
530.9784674,-469.0215326,-5.6821515,-37.5056756
525.2963159,-474.7036841,-5.5852961,-36.734796
519.7110198,-480.2889802,-5.4680194,76.9220682
514.2430004,-485.7569996,-5.3543982,410.2200332
508.8886022,-491.1113978,-5.2442818,406.6057545
503.6443204,-496.3556796,-5.1375279,403.0534205
498.5067925,-501.4932075,-5.0340007,399.5614893
493.4727918,-506.5272082,-4.9112719,396.1284678
488.5615199,-511.4384801,108.0715681,392.7595678
596.633088,-403.366912,327.8299456,276.5321207
924.4630336,-75.5369664,-8.9686769,-59.3043972
915.4943567,-84.5056433,-8.7966158,-58.1970484
906.6977409,-93.3022591,-8.6294591,-57.1204334
898.0682818,-101.9317182,-8.4670222,-56.0734249
889.6012596,-110.3987404,-8.2801719,-55.0549467
881.3210877,-118.6789123,-8.155879,-54.0929285
873.1652087,-126.8347913,-8.0065723,-53.1012614
865.1586364,-134.8413636,-7.8613281,81.065767
857.2973083,-142.7026917,-7.7200008,219.2429937
849.5773075,-150.4226925,-7.5824506,217.8438845
841.9948569,-158.0051431,-7.448544,216.4601671
834.5463129,-165.4536871,-7.3181537,215.0916681
827.2281592,-172.7718408,-7.1642119,213.7382148
820.0639473,-179.9360527,126.1604561,212.3726857
946.2244034,-53.7755966,130.3158986,77.8500206
1076.540302,76.540302,-9.11911,-60.722367
1067.421192,67.421192,-8.966168,-59.727906
1058.455024,58.455024,-8.817043,-58.75768
1049.637981,49.637981,-8.671607,-57.8109056
1040.966374,40.966374,-8.529741,-56.886834
1032.436633,32.436633,-8.362209,-55.9847437
1024.074424,24.074424,-8.256489,-55.1330621
1015.817935,15.817935,-8.124649,-54.2453126
1007.693286,7.693286,-7.995942,-53.3779665
999.697344,-0.302656,-7.8702686,-14.9308394
991.8270754,-8.1729246,-7.7475354,-14.4095176
984.07954,-15.92046,-7.6276507,-13.9022568
976.4518893,-23.5481107,-7.5105274,-13.4086014
968.9413619,-31.0586381,-7.3687395,-12.9281129
961.5726224,-38.4273776,-7.2573029,-12.4877119
954.3153195,-45.6846805,30.4511851,-12.032961
984.7665046,-15.2334954,-7.3489468,-49.1896919
977.4175578,-22.5824422,-7.2402746,-48.451345
970.1772832,-29.8227168,-7.1339953,-47.7544503
963.0432879,-36.9567121,-7.0300389,-47.0724787
956.013249,-43.986751,-6.9283385,-46.4050073
949.0849105,-50.9150895,-6.802552,-45.7516276
942.2823585,-57.7176415,-6.7055458,-45.138223
935.5768127,-64.4231873,-6.6105999,-44.5129123
928.9662128,-71.0337872,-6.5433799,28.3662584
922.4228329,-77.5771671,-6.4520237,182.1211991
915.9708092,-84.0291908,-6.3625675,181.2081988
909.6082417,-90.3917583,-6.2749588,180.3031323
903.3332829,-96.6667171,-6.1891474,179.4059261
897.1441355,-102.8558645,-6.0802351,178.5165105
891.0639004,-108.9360996,66.2685708,177.6365506
957.3324712,-42.6675288,147.2115608,104.4974498
1104.544032,104.544032,-7.365024,-21.037312
1097.179008,97.179008,-7.267634,-20.575849
1089.911374,89.911374,-7.172165,-20.124526
1082.739209,82.739209,-7.078563,-19.683068
1075.660646,75.660646,-6.960195,-19.251209
