date,open,high,low,close,value
2016/9/12-2016/9/14,1324.6,1324.6,1321.75,1321.75,29570
2016/9/15-2016/9/19,1310.8,1314.85,1308.35,1314.85,34330
2016/9/20-2016/9/22,1313.8,1339.1,1313.8,1339.1,43060
2016/9/23-2016/9/27,1338.65,1340.5,1327.0,1327.0,32400
2016/9/28-2016/9/30,1322.5,1322.5,1318.1,1322.5,31100
2016/10/3-2016/10/5,1313.3,1313.3,1269.4,1269.4,2190
2016/10/6-2016/10/10,1254.5,1259.5,1254.5,1259.5,44420
2016/10/11-2016/10/13,1253.45,1261.05,1253.45,1261.05,18840
2016/10/14-2016/10/18,1251.75,1258.2,1251.75,1258.2,29550
2016/10/19-2016/10/21,1269.05,1271.65,1266.05,1266.05,27510
2016/10/24-2016/10/26,1265.55,1270.5,1265.55,1270.5,29110
2016/10/27-2016/10/31,1266.25,1273.0,1266.25,1272.0,20700
2016/11/1-2016/11/3,1288.45,1303.75,1288.45,1301.0,3460
2016/11/4-2016/11/8,1302.8,1302.8,1282.35,1282.35,32450
2016/11/9-2016/11/11,1281.4,1281.4,1236.45,1236.45,76140
2016/11/14-2016/11/16,1213.6,1229.2,1213.6,1229.2,28230
2016/11/17-2016/11/21,1226.75,1226.75,1211.0,1214.25,28860
2016/11/22-2016/11/24,1212.25,1212.25,1185.35,1186.1,24610
2016/11/25-2016/11/29,1187.7,1187.7,1186.55,1186.55,28430
2016/11/30-2016/12/2,1178.1,1178.1,1161.85,1173.5,12630
2016/12/5-2016/12/7,1162.2,1177.65,1162.2,1177.65,19020
2016/12/8-2016/12/12,1171.05,1171.05,1156.1,1156.1,26460
2016/12/13-2016/12/15,1158.55,1162.25,1126.95,1126.95,32690
2016/12/16-2016/12/20,1131.6,1136.25,1125.7,1125.7,31380
2016/12/21-2016/12/28,1133.65,1134.6,1131.35,1134.6,26650
2016/12/29-2017/1/4,1145.9,1164.25,1145.9,1164.25,9430
2017/1/5-2017/1/9,1176.7,1178.5,1175.85,1178.5,21830
2017/1/10-2017/1/12,1189.5,1205.05,1178.55,1205.05,37860
2017/1/13-2017/1/17,1190.35,1216.05,1190.35,1216.05,32520
2017/1/18-2017/1/20,1214.75,1214.75,1196.05,1200.55,33400
2017/1/23-2017/1/25,1212.85,1216.8,1195.0,1195.0,27890
2017/1/27-2017/1/31,1184.85,1212.8,1184.85,1212.8,25300
2017/2/1-2017/2/3,1203.65,1221.95,1203.65,1215.2,4890
2017/2/6-2017/2/8,1226.75,1242.1,1226.75,1242.1,32610
2017/2/9-2017/2/13,1236.8,1236.8,1222.25,1222.25,33020
2017/2/14-2017/2/16,1230.75,1240.55,1224.4,1240.55,34730
2017/2/17-2017/2/21,1241.95,1241.95,1233.2,1233.2,26180
2017/2/22-2017/2/24,1236.65,1253.65,1236.65,1253.65,27470
2017/2/27-2017/3/1,1257.2,1257.2,1240.4,1240.4,18640
2017/3/2-2017/3/6,1238.1,1238.1,1226.5,1230.95,11010
2017/3/7-2017/3/9,1216.65,1216.65,1206.55,1206.55,30310
2017/3/10-2017/3/14,1202.65,1204.6,1202.65,1204.6,26120
2017/3/15-2017/3/17,1198.8,1229.6,1198.8,1229.6,32030
2017/3/20-2017/3/22,1232.4,1249.05,1232.4,1249.05,33840
2017/3/23-2017/3/27,1247.5,1257.55,1247.5,1257.55,28120
2017/3/28-2017/3/30,1257.25,1257.25,1248.8,1248.8,22240
2017/3/31-2017/4/4,1244.85,1257.65,1244.85,1257.65,8470
2017/4/5-2017/4/7,1245.8,1266.45,1245.8,1266.45,22870
2017/4/10-2017/4/12,1250.05,1274.3,1250.05,1274.3,31370
2017/4/13-2017/4/19,1284.15,1284.15,1278.95,1279.05,33260
2017/4/20-2017/4/24,1282.1,1282.1,1269.4,1269.4,30350
2017/4/25-2017/4/27,1267.8,1267.8,1261.85,1262.8,26390
2017/4/28-2017/5/3,1266.45,1266.45,1250.3,1250.3,7020
2017/5/4-2017/5/8,1228.45,1229.8,1228.05,1229.8,7990
2017/5/9-2017/5/11,1220.4,1223.15,1220.4,1223.15,29100
2017/5/12-2017/5/16,1231.25,1234.2,1231.25,1234.2,25970
2017/5/17-2017/5/19,1257.4,1257.4,1252.0,1252.0,52880
2017/5/22-2017/5/24,1258.85,1260.2,1252.55,1252.55,30500
2017/5/25-2017/5/30,1256.95,1265.05,1256.95,1262.7,29330
2017/5/31-2017/6/2,1266.2,1274.95,1264.85,1274.95,9910
2017/6/5-2017/6/7,1279.95,1293.5,1279.95,1291.0,21670
2017/6/8-2017/6/12,1273.1,1273.1,1266.4,1266.4,29700
2017/6/13-2017/6/15,1262.0,1275.5,1254.55,1254.55,28510
2017/6/16-2017/6/20,1255.4,1255.4,1242.2,1242.2,22020
2017/6/21-2017/6/23,1242.5,1255.7,1242.5,1255.7,23660
2017/6/26-2017/6/28,1245.25,1249.55,1245.25,1248.0,19970
2017/6/29-2017/7/3,1243.5,1243.5,1229.25,1229.25,19580
2017/7/4-2017/7/6,1223.75,1224.9,1220.3,1224.9,12730
2017/7/7-2017/7/11,1215.65,1215.65,1211.05,1211.05,40520
2017/7/12-2017/7/14,1218.8,1230.3,1218.8,1230.3,32520
2017/7/17-2017/7/19,1234.1,1242.15,1234.1,1242.15,25340
2017/7/20-2017/7/24,1238.7,1255.55,1238.7,1255.55,28780
2017/7/25-2017/7/27,1254.4,1261.1,1248.1,1261.1,29680
2017/7/28-2017/8/1,1264.9,1270.95,1264.9,1270.95,16670
2017/8/2-2017/8/4,1269.6,1269.6,1257.7,1257.7,1130
2017/8/7-2017/8/9,1258.0,1271.05,1258.0,1271.05,22930
2017/8/10-2017/8/14,1284.4,1286.1,1282.3,1282.3,31460
2017/8/16-2017/8/18,1270.3,1285.15,1270.3,1285.15,32650
2017/8/21-2017/8/23,1295.8,1295.8,1284.2,1284.2,23440
2017/8/24-2017/8/28,1286.65,1289.0,1285.3,1285.3,23770
2017/8/29-2017/8/31,1318.65,1318.65,1308.5,1311.75,26470
2017/9/1-2017/9/5,1320.4,1335.55,1320.4,1335.55,1610
2017/9/6-2017/9/8,1337.85,1346.25,1337.85,1346.25,40240
2017/9/11-2017/9/13,1334.2,1334.2,1326.5,1327.55,32580
2017/9/14-2017/9/18,1324.55,1324.55,1312.1,1312.1,34820
2017/9/19-2017/9/21,1309.6,1311.3,1292.1,1292.1,29709
2017/9/22-2017/9/26,1294.8,1300.05,1293.3,1300.05,33890
2017/9/27-2017/9/29,1282.55,1283.35,1282.55,1283.1,25850
2017/10/3-2017/10/5,1271.25,1274.5,1271.25,1274.5,1820
2017/10/6-2017/10/10,1261.8,1291.4,1261.8,1291.4,24450
2017/10/11-2017/10/13,1289.25,1299.6,1289.25,1299.6,19620
2017/10/16-2017/10/18,1303.3,1303.3,1280.2,1280.2,19120
2017/10/19-2017/10/23,1286.4,1286.4,1274.9,1274.9,12130
2017/10/24-2017/10/26,1276.45,1276.45,1273.75,1273.75,21979
2017/10/27-2017/10/31,1266.45,1272.0,1266.45,1270.15,17150
2017/11/1-2017/11/3,1277.05,1279.2,1267.2,1267.2,2550
2017/11/6-2017/11/8,1270.9,1284.0,1270.9,1284.0,23770
2017/11/9-2017/11/13,1284.8,1284.8,1277.95,1277.95,25230
2017/11/14-2017/11/16,1274.6,1282.2,1274.6,1280.0,27850
2017/11/17-2017/11/21,1284.35,1286.2,1283.3,1283.3,28210
2017/11/22-2017/11/24,1286.95,1290.5,1286.95,1290.5,19380
2017/11/27-2017/11/29,1294.9,1294.9,1283.85,1283.85,18240
2017/11/30-2017/12/4,1280.2,1280.2,1273.45,1273.45,8790
2017/12/5-2017/12/7,1266.3,1266.3,1255.0,1255.0,13810
2017/12/8-2017/12/12,1250.65,1250.65,1240.9,1240.9,21920
2017/12/13-2017/12/15,1242.65,1254.6,1242.65,1254.6,16830
2017/12/18-2017/12/20,1260.6,1264.55,1260.35,1264.55,18190
2017/12/21-2017/12/28,1264.55,1291.0,1264.55,1291.0,15850
2018/1/2-2018/1/4,1312.05,1314.9,1312.05,1314.5,2090
2018/1/5-2018/1/9,1317.15,1319.95,1311.0,1311.0,11510
2018/1/10-2018/1/12,1319.75,1326.8,1319.75,1326.8,25870
2018/1/15-2018/1/17,1339.25,1339.25,1333.85,1335.65,21520
2018/1/18-2018/1/22,1332.2,1334.95,1332.2,1332.6,21000
2018/1/23-2018/1/25,1333.4,1354.95,1333.4,1354.95,27980
2018/1/29-2018/1/31,1343.85,1345.05,1343.85,1345.05,20920
2018/2/1-2018/2/5,1341.35,1341.35,1331.15,1333.6,2660
2018/2/6-2018/2/8,1331.4,1331.4,1315.45,1315.45,31900
2018/2/9-2018/2/13,1314.1,1325.35,1314.1,1325.35,19130
2018/2/14-2018/2/16,1336.25,1352.45,1336.25,1352.1,29170
2018/2/19-2018/2/21,1346.6,1346.6,1330.5,1330.5,20360
2018/2/22-2018/2/26,1328.35,1333.5,1327.95,1333.5,17510
2018/2/27-2018/3/1,1325.75,1325.75,1307.75,1307.75,14450
2018/3/2-2018/3/6,1322.3,1331.4,1320.4,1331.4,11140
2018/3/7-2018/3/9,1329.4,1329.4,1320.6,1320.6,28810
2018/3/12-2018/3/14,1319.15,1323.55,1319.15,1323.55,27910
2018/3/15-2018/3/19,1318.75,1318.75,1310.1,1312.4,29970
2018/3/20-2018/3/22,1311.0,1329.15,1311.0,1329.15,31780
2018/3/23-2018/3/27,1346.6,1352.4,1341.45,1341.45,30430
2018/3/28-2018/4/3,1332.45,1333.45,1323.85,1333.45,12090
2018/4/4-2018/4/6,1337.3,1337.3,1327.7,1331.2,13550
2018/4/9-2018/4/11,1331.95,1350.75,1331.95,1350.75,34480
2018/4/12-2018/4/16,1341.35,1349.35,1341.35,1349.35,31190
2018/4/17-2018/4/19,1342.1,1351.45,1342.1,1348.6,27870
2018/4/20-2018/4/24,1336.75,1336.75,1324.3,1328.85,19040
2018/4/25-2018/4/27,1321.65,1321.65,1320.7,1321.5,18540
2018/4/30-2018/5/2,1313.2,1313.2,1304.2,1304.2,7740
2018/5/3-2018/5/8,1315.05,1315.05,1306.6,1306.6,9030
2018/5/9-2018/5/11,1313.85,1324.35,1313.85,1324.35,29500
2018/5/14-2018/5/16,1319.85,1319.85,1291.25,1291.25,33140
2018/5/17-2018/5/21,1289.5,1289.5,1288.3,1288.35,23949
2018/5/22-2018/5/24,1293.05,1304.85,1289.0,1304.85,30370
2018/5/25-2018/5/30,1303.5,1303.5,1295.5,1300.7,31570
2018/5/31-2018/6/4,1305.35,1305.35,1294.6,1295.45,8480
2018/6/5-2018/6/7,1292.05,1300.1,1292.05,1297.25,14620
2018/6/8-2018/6/12,1298.25,1299.6,1298.25,1298.65,22650
2018/6/13-2018/6/15,1296.15,1302.75,1285.25,1285.25,23670
2018/6/18-2018/6/20,1281.55,1281.55,1274.2,1274.2,17010
2018/6/21-2018/6/25,1266.15,1269.15,1266.15,1268.7,18730
2018/6/26-2018/6/28,1260.3,1260.3,1251.55,1251.55,16730
2018/6/29-2018/7/3,1250.45,1251.75,1247.8,1251.75,8060
2018/7/4-2018/7/6,1255.65,1255.65,1255.35,1255.35,4900
2018/7/9-2018/7/11,1262.05,1262.05,1251.4,1251.4,20800
2018/7/12-2018/7/16,1245.9,1245.9,1241.1,1241.1,20480
2018/7/17-2018/7/19,1232.8,1232.8,1217.55,1217.55,25600
2018/7/20-2018/7/24,1228.75,1228.75,1224.95,1228.35,21860
2018/7/25-2018/7/27,1231.5,1231.5,1223.95,1223.95,20880
2018/7/30-2018/8/1,1223.8,1223.8,1219.0,1219.0,13670
2018/8/2-2018/8/6,1215.45,1216.3,1209.65,1209.65,5049
2018/8/7-2018/8/9,1212.35,1214.35,1209.55,1214.35,18010
2018/8/10-2018/8/14,1214.4,1214.4,1197.0,1197.0,20020
2018/8/16-2018/8/20,1182.0,1182.0,1178.4,1178.4,21930
2018/8/21-2018/8/23,1184.35,1196.65,1184.35,1196.65,16860
2018/8/24-2018/8/28,1192.35,1212.25,1192.35,1212.25,22480
2018/8/29-2018/8/31,1204.2,1204.2,1197.3,1202.45,18170
2018/9/3-2018/9/5,1200.05,1200.05,1190.85,1196.7,1660
2018/9/6-2018/9/10,1205.15,1205.15,1196.6,1196.6,35660
2018/9/11-2018/9/13,1189.85,1209.8,1189.85,1209.8,33910
2018/9/14-2018/9/18,1201.95,1201.95,1200.2,1200.2,37550
2018/9/19-2018/9/21,1203.3,1208.35,1198.7,1198.7,32580
2018/9/24-2018/9/26,1202.75,1202.75,1194.25,1194.25,27300
2018/9/27-2018/10/1,1185.4,1189.35,1185.4,1189.35,21350
2018/10/3-2018/10/5,1201.2,1203.8,1201.2,1203.8,300
2018/10/8-2018/10/10,1186.95,1188.6,1185.55,1188.6,23850
2018/10/11-2018/10/15,1205.55,1229.95,1205.55,1229.95,42300
2018/10/16-2018/10/18,1230.7,1230.7,1223.0,1223.0,24880
2018/10/19-2018/10/23,1227.85,1235.95,1222.3,1235.95,27790
2018/10/24-2018/10/26,1230.55,1233.85,1230.55,1233.85,32670
2018/10/29-2018/10/31,1230.8,1230.8,1214.95,1214.95,18300
2018/11/1-2018/11/5,1231.15,1232.25,1231.15,1232.25,2300
2018/11/6-2018/11/8,1231.6,1231.6,1224.15,1224.15,17070
2018/11/9-2018/11/13,1211.4,1211.4,1202.1,1202.1,26760
2018/11/14-2018/11/16,1203.25,1222.4,1203.25,1222.4,26360
2018/11/19-2018/11/21,1221.6,1226.1,1221.6,1226.1,24240
2018/11/22-2018/11/26,1227.05,1227.05,1223.4,1223.4,22150
2018/11/27-2018/11/29,1221.2,1226.25,1213.25,1226.25,22950
2018/11/30-2018/12/4,1217.55,1240.3,1217.55,1240.3,9310
2018/12/5-2018/12/7,1235.9,1243.3,1235.9,1243.3,21830
2018/12/10-2018/12/12,1245.35,1245.75,1245.3,1245.75,32190
2018/12/13-2018/12/17,1242.75,1242.75,1235.35,1241.65,21150
2018/12/18-2018/12/20,1246.3,1259.75,1246.3,1259.75,31910
2018/12/21-2018/12/28,1258.15,1279.0,1258.15,1279.0,24560
2019/1/2-2019/1/4,1282.9,1290.45,1279.9,1279.9,630
2019/1/7-2019/1/9,1292.2,1292.2,1286.45,1288.6,38270
2019/1/10-2019/1/14,1291.9,1292.75,1288.95,1292.75,37540
2019/1/15-2019/1/17,1294.4,1294.4,1290.7,1290.7,36870
2019/1/18-2019/1/22,1284.2,1284.2,1279.55,1282.1,33570
2019/1/23-2019/1/25,1279.8,1293.9,1279.8,1293.9,33490
2019/1/28-2019/1/30,1302.15,1310.7,1302.15,1310.7,33770
2019/1/31-2019/2/4,1323.25,1323.25,1312.15,1312.15,13930
2019/2/5-2019/2/7,1314.2,1314.2,1310.0,1310.0,18000
2019/2/8-2019/2/12,1314.85,1314.85,1306.4,1310.0,29940
2019/2/13-2019/2/15,1312.8,1316.55,1311.45,1316.55,34090
2019/2/18-2019/2/20,1325.5,1343.75,1325.5,1343.75,29880
2019/2/21-2019/2/25,1331.25,1331.25,1329.05,1331.05,32490
2019/2/26-2019/2/28,1325.05,1325.05,1319.15,1319.15,26540
2019/3/1-2019/3/5,1311.95,1311.95,1283.8,1283.8,1950
2019/3/6-2019/3/8,1285.85,1296.75,1285.3,1296.75,48080
2019/3/11-2019/3/13,1292.75,1306.95,1292.75,1306.95,38290
2019/3/14-2019/3/18,1295.55,1305.6,1295.55,1305.6,42680
2019/3/19-2019/3/21,1307.7,1309.6,1303.7,1309.6,38460
2019/3/22-2019/3/26,1311.3,1319.55,1311.3,1316.3,46270
2019/3/27-2019/3/29,1309.7,1309.7,1295.15,1295.4,44140
2019/4/1-2019/4/3,1293.5,1293.5,1290.3,1290.45,5080
2019/4/4-2019/4/8,1283.15,1300.0,1283.15,1300.0,13030
2019/4/9-2019/4/11,1303.0,1305.45,1298.8,1298.8,39860
2019/4/12-2019/4/16,1294.3,1294.3,1276.35,1276.35,34030
2019/4/17-2019/4/23,1275.85,1275.85,1269.5,1269.5,25440
2019/4/24-2019/4/26,1271.65,1284.2,1271.65,1284.2,33950
2019/4/30-2019/5/2,1279.5,1283.8,1279.5,1283.8,8470
2019/5/3-2019/5/7,1270.95,1281.2,1270.95,1281.2,24520
