date,moeny
2016/9/12-2016/9/16,1000.0
2016/9/19-2016/9/23,960.3
2016/9/26-2016/9/30,979.0334638932198
2016/10/3-2016/10/7,921.0746828307412
2016/10/10-2016/10/14,925.0866724603507
2016/10/17-2016/10/21,870.3215414506979
2016/10/24-2016/10/28,886.3732764065174
2016/10/31-2016/11/4,886.3732764065174
2016/11/7-2016/11/11,886.3732764065174
2016/11/14-2016/11/18,833.8999784432516
2016/11/21-2016/11/25,865.6990349772698
2016/11/28-2016/12/2,814.4496521066154
2016/12/5-2016/12/9,853.6192250505308
2016/12/12-2016/12/16,803.0849669275392
2016/12/28-2017/1/4,814.8676807280204
2017/1/5-2017/1/11,766.6275140289216
2017/1/12-2017/1/18,856.9119463331119
2017/1/19-2017/1/25,856.9119463331119
2017/1/27-2017/2/2,806.1827591101917
2017/2/3-2017/2/9,903.6207735112242
2017/2/10-2017/2/16,850.1264237193597
2017/2/17-2017/2/23,959.7756942652773
2017/2/24-2017/3/2,902.9569731647728
2017/3/3-2017/3/9,950.0399795744804
2017/3/10-2017/3/16,893.7976127836711
2017/3/17-2017/3/23,987.4711175945769
2017/3/24-2017/3/30,987.4711175945769
2017/3/31-2017/4/6,987.4711175945769
2017/4/7-2017/4/13,929.0128274329779
2017/4/18-2017/4/24,1067.2625671676828
2017/4/25-2017/5/2,1067.2625671676828
2017/5/3-2017/5/9,1004.0806231913559
2017/5/10-2017/5/16,1064.1943851273725
2017/5/17-2017/5/23,1001.1940775278321
2017/5/24-2017/5/31,1153.565172525713
2017/6/1-2017/6/7,1085.2741143121907
2017/6/8-2017/6/14,1227.3387382231158
2017/6/15-2017/6/21,1154.6802849203073
2017/6/22-2017/6/28,1324.8522384090484
2017/6/29-2017/7/5,1324.8522384090484
2017/7/6-2017/7/12,1246.4209858952327
2017/7/13-2017/7/19,1248.8950651073717
2017/7/20-2017/7/26,1174.9604772530151
2017/7/27-2017/8/2,1230.7560993119948
2017/8/3-2017/8/9,1157.8953382327247
2017/8/10-2017/8/17,1694.08690538898
2017/8/18-2017/8/24,1593.796960589952
2017/8/25-2017/8/31,1887.839928911765
2017/9/1-2017/9/7,1776.0798051201884
2017/9/8-2017/9/14,1908.9639688947095
2017/9/15-2017/9/21,1795.9533019361425
2017/9/22-2017/9/28,1891.3381765698944
2017/9/29-2017/10/6,1891.3381765698944
2017/10/9-2017/10/13,1891.3381765698944
2017/10/16-2017/10/20,1779.3709565169565
2017/10/23-2017/10/27,2054.029732184881
2017/10/30-2017/11/3,1932.431172039536
2017/11/6-2017/11/10,2446.248929650698
2017/11/13-2017/11/17,2446.248929650698
2017/11/20-2017/11/24,2301.4309930153763
2017/11/27-2017/12/1,2754.041002658872
2017/12/4-2017/12/8,2591.0017753014668
2017/12/11-2017/12/15,3629.5925962514098
2017/12/27-2018/1/3,3414.720714553326
2018/1/4-2018/1/10,4413.116856765208
2018/1/11-2018/1/17,4151.860338844707
2018/1/18-2018/1/24,5383.221376937497
2018/1/25-2018/2/1,5383.221376937497
2018/2/2-2018/2/8,5064.534671422797
2018/2/9-2018/2/15,6133.665848099772
2018/2/16-2018/2/22,6133.665848099772
2018/2/23-2018/3/1,5770.552829892265
2018/3/2-2018/3/8,5733.508671279313
2018/3/9-2018/3/15,5733.508671279313
2018/3/16-2018/3/22,5394.084957939577
2018/3/23-2018/3/29,7167.043970306702
2018/4/3-2018/4/9,6742.754967264545
2018/4/10-2018/4/16,7948.246521779613
2018/4/17-2018/4/23,7948.246521779613
2018/4/24-2018/4/30,7477.71032769026
2018/5/1-2018/5/8,7885.739285496667
2018/5/9-2018/5/15,7885.739285496667
2018/5/16-2018/5/22,7418.903519795264
2018/5/23-2018/5/30,8817.645277005708
2018/5/31-2018/6/6,8817.645277005708
2018/6/7-2018/6/13,8295.64067660697
2018/6/14-2018/6/20,8558.575053845072
2018/6/21-2018/6/27,8558.575053845072
2018/6/28-2018/7/4,8558.575053845072
2018/7/5-2018/7/11,8051.907410657443
2018/7/12-2018/7/18,8353.022310721679
2018/7/19-2018/7/25,8353.022310721679
2018/7/26-2018/8/1,8353.022310721679
2018/8/2-2018/8/8,7858.523389926955
2018/8/9-2018/8/16,8118.7066647225365
2018/8/17-2018/8/23,8118.7066647225365
2018/8/24-2018/8/30,7638.079230170962
2018/8/31-2018/9/6,9107.85634205078
2018/9/7-2018/9/13,9107.85634205078
2018/9/14-2018/9/20,9107.85634205078
2018/9/21-2018/9/27,8568.671246601374
2018/9/28-2018/10/5,8694.845273126079
2018/10/8-2018/10/12,8180.110432957014
2018/10/15-2018/10/19,8798.8329141214
2018/10/22-2018/10/26,8277.942005605411
2018/10/29-2018/11/2,8588.658737452202
2018/11/5-2018/11/9,8588.658737452202
2018/11/12-2018/11/16,8588.658737452202
2018/11/19-2018/11/23,8588.658737452202
2018/11/26-2018/11/30,8080.210140195032
2018/12/3-2018/12/7,8378.05521165955
2018/12/10-2018/12/14,8378.05521165955
2018/12/17-2018/12/21,8378.05521165955
2019/1/3-2019/1/9,8378.05521165955
2019/1/10-2019/1/16,8378.05521165955
2019/1/17-2019/1/23,7882.074343129304
2019/1/24-2019/1/30,8591.293951387006
2019/1/31-2019/2/6,8591.293951387006
2019/2/7-2019/2/13,8082.689349464896
2019/2/14-2019/2/20,9951.233420979765
2019/2/21-2019/2/27,9362.120402457762
2019/2/28-2019/3/6,9734.823027263248
2019/3/7-2019/3/13,9158.521504049264
2019/3/14-2019/3/20,9423.464590552057
2019/3/21-2019/3/27,9423.464590552057
2019/3/28-2019/4/3,8865.595486791375
2019/4/4-2019/4/10,9265.508379362556
2019/4/11-2019/4/17,8716.990283304292
2019/4/18-2019/4/26,9969.4307239205
2019/4/30-2019/5/6,9379.240425064407
2019/5/7-2019/5/13,9670.842308281597
2019/5/14-2019/5/20,9670.842308281597
2019/5/21-2019/5/28,9098.328443631326
2019/5/29-2019/6/4,9330.82575963989
2019/6/5-2019/6/11,8778.440874669208
2019/6/12-2019/6/18,8797.722621591913
2019/6/19-2019/6/25,8448.453033514714
2019/6/26-2019/7/2,8824.973502773693
2019/7/3-2019/7/9,8302.53507140949
2019/7/10-2019/7/16,10427.744544079813
2019/7/17-2019/7/23,9810.422067070287
2019/7/24-2019/7/30,10899.351166647783
2019/7/31-2019/8/6,10899.351166647783
2019/8/7-2019/8/13,10254.109577582232
2019/8/14-2019/8/21,11454.05141871392
2019/8/22-2019/8/28,10775.971574726054
2019/8/29-2019/9/4,12010.01411546667
2019/9/5-2019/9/11,11299.021279831042
2019/9/12-2019/9/18,11457.017893287748
2019/9/19-2019/9/25,11457.017893287748
2019/9/26-2019/10/3,10778.762434005112
2019/10/4-2019/10/10,12303.96916778661
2019/10/11-2019/10/17,12303.96916778661
2019/10/18-2019/10/24,11575.574193053642
2019/10/25-2019/10/31,11495.430964890911
2019/11/1-2019/11/7,10814.901451769367
2019/11/8-2019/11/14,11813.282364571052
2019/11/15-2019/11/21,11813.282364571052
2019/11/22-2019/11/28,11813.282364571052
2019/11/29-2019/12/5,11813.282364571052
2019/12/6-2019/12/12,11113.936048588446
2019/12/13-2019/12/19,11332.622108969941
2019/12/20-2019/12/30,10661.730880118921
2020/1/8-2020/1/14,12402.638127914579
2020/1/15-2020/1/21,12402.638127914579
2020/1/22-2020/1/28,12402.638127914579
2020/1/29-2020/2/4,12402.638127914579
2020/2/5-2020/2/11,11668.401950742034
2020/2/12-2020/2/18,12040.70911658774
2020/2/19-2020/2/25,12040.70911658774
2020/2/26-2020/3/3,11327.899136885744
2020/3/4-2020/3/10,11448.843493762115
2020/3/11-2020/3/17,10771.071958931396
2020/3/18-2020/3/24,10840.144244105648
2020/3/25-2020/3/31,10198.407704854593
2020/4/1-2020/4/9,11329.127293907188
2020/4/13-2020/4/20,10658.442958107882
2020/4/21-2020/4/27,12003.304447147948
2020/4/28-2020/5/4,11292.708823876788
2020/5/5-2020/5/12,11289.34624312371
2020/5/13-2020/5/19,11289.34624312371
2020/5/20-2020/5/27,10621.016945530786
2020/5/28-2020/6/3,11074.597766626233
2020/6/4-2020/6/10,10418.98157884196
2020/6/11-2020/6/17,12483.29219315228
2020/6/18-2020/6/24,11744.281295317664
2020/6/25-2020/7/1,12889.906537222218
2020/7/2-2020/7/8,12126.824070218661
2020/7/9-2020/7/15,12773.954028437887
2020/7/16-2020/7/22,12017.735949954364
2020/7/23-2020/7/29,14285.014043597404
2020/7/30-2020/8/5,13717.898986066588
2020/8/6-2020/8/12,14485.201588152911
2020/8/13-2020/8/19,13627.677654134259
2020/8/20-2020/8/26,14399.430468490908
