date,moeny
2016/9/12-2016/9/16,1000.0
2016/9/19-2016/9/23,990.0
2016/9/26-2016/9/30,1009.3128493744534
2016/10/3-2016/10/7,979.2353264630947
2016/10/10-2016/10/14,983.5006504894193
2016/10/17-2016/10/21,954.1923311048346
2016/10/24-2016/10/28,971.790933076975
2016/10/31-2016/11/4,971.790933076975
2016/11/7-2016/11/11,971.790933076975
2016/11/14-2016/11/18,942.8315632712811
2016/11/21-2016/11/25,978.7845012225324
2016/11/28-2016/12/2,949.6167230861009
2016/12/5-2016/12/9,995.2869267720788
2016/12/12-2016/12/16,965.6273763542708
2016/12/28-2017/1/4,979.7948822621712
2017/1/5-2017/1/11,950.5969947707584
2017/1/12-2017/1/18,1062.5472032519394
2017/1/19-2017/1/25,1062.5472032519394
2017/1/27-2017/2/2,1030.8832965950317
2017/2/3-2017/2/9,1155.47938893801
2017/2/10-2017/2/16,1121.0461031476573
2017/2/17-2017/2/23,1265.6385826058215
2017/2/24-2017/3/2,1227.922552844168
2017/3/3-2017/3/9,1291.9502830067174
2017/3/10-2017/3/16,1253.4501645731173
2017/3/17-2017/3/23,1384.8166711983579
2017/3/24-2017/3/30,1384.8166711983579
2017/3/31-2017/4/6,1384.8166711983579
2017/4/7-2017/4/13,1343.5491343966469
2017/4/18-2017/4/24,1543.487512712015
2017/4/25-2017/5/2,1543.487512712015
2017/5/3-2017/5/9,1497.4915848331968
2017/5/10-2017/5/16,1587.1455932391486
2017/5/17-2017/5/23,1539.848654560622
2017/5/24-2017/5/31,1774.1972497957881
2017/6/1-2017/6/7,1721.3261717518735
2017/6/8-2017/6/14,1946.6513241655039
2017/6/15-2017/6/21,1888.6411147053718
2017/6/22-2017/6/28,2166.9811471159433
2017/6/29-2017/7/5,2166.9811471159433
2017/7/6-2017/7/12,2102.405108931888
2017/7/13-2017/7/19,2106.578270997005
2017/7/20-2017/7/26,2043.802238521294
2017/7/27-2017/8/2,2140.856751818999
2017/8/3-2017/8/9,2077.0592206147926
2017/8/10-2017/8/17,3038.8919543725947
2017/8/18-2017/8/24,2948.3329741322914
2017/8/25-2017/8/31,3492.2771531913577
2017/9/1-2017/9/7,3388.207294026255
2017/9/8-2017/9/14,3641.708905644965
2017/9/15-2017/9/21,3533.185980256745
2017/9/22-2017/9/28,3720.837018522161
2017/9/29-2017/10/6,3720.837018522161
2017/10/9-2017/10/13,3720.837018522161
2017/10/16-2017/10/20,3609.956075370201
2017/10/23-2017/10/27,4167.178903046897
2017/10/30-2017/11/3,4042.9969717360996
2017/11/6-2017/11/10,5117.997038027546
2017/11/13-2017/11/17,5117.997038027546
2017/11/20-2017/11/24,4965.480726294326
2017/11/27-2017/12/1,5942.015015713991
2017/12/4-2017/12/8,5764.942968245713
2017/12/11-2017/12/15,8075.793121724775
2017/12/27-2018/1/3,7835.134486697377
2018/1/4-2018/1/10,10125.971336660135
2018/1/11-2018/1/17,9824.217390827664
2018/1/18-2018/1/24,12737.88922406301
2018/1/25-2018/2/1,12737.88922406301
2018/2/2-2018/2/8,12358.300125185931
2018/2/9-2018/2/15,14967.156577313917
2018/2/16-2018/2/22,14967.156577313917
2018/2/23-2018/3/1,14521.135311309963
2018/3/2-2018/3/8,14427.916644820021
2018/3/9-2018/3/15,14427.916644820021
2018/3/16-2018/3/22,13997.964728804385
2018/3/23-2018/3/29,18598.896659659757
2018/4/3-2018/4/9,18044.649539201895
2018/4/10-2018/4/16,21270.730381424302
2018/4/17-2018/4/23,21270.730381424302
2018/4/24-2018/4/30,20636.86261605786
2018/5/1-2018/5/8,21762.934257860154
2018/5/9-2018/5/15,21762.934257860154
2018/5/16-2018/5/22,21114.398816975918
2018/5/23-2018/5/30,25095.255452312518
2018/5/31-2018/6/6,25095.255452312518
2018/6/7-2018/6/13,24347.416839833604
2018/6/14-2018/6/20,25119.120091420988
2018/6/21-2018/6/27,25119.120091420988
2018/6/28-2018/7/4,25119.120091420988
2018/7/5-2018/7/11,24370.57031269664
2018/7/12-2018/7/18,25281.949625690624
2018/7/19-2018/7/25,25281.949625690624
2018/7/26-2018/8/1,25281.949625690624
2018/8/2-2018/8/8,24528.54752684504
2018/8/9-2018/8/16,25340.648923615576
2018/8/17-2018/8/23,25340.648923615576
2018/8/24-2018/8/30,24585.497585691828
2018/8/31-2018/9/6,29316.425420649302
2018/9/7-2018/9/13,29316.425420649302
2018/9/14-2018/9/20,29316.425420649302
2018/9/21-2018/9/27,28442.795943113953
2018/9/28-2018/10/5,28861.617249998217
2018/10/8-2018/10/12,28001.541055948273
2018/10/15-2018/10/19,30119.505489381954
2018/10/22-2018/10/26,29221.94422579837
2018/10/29-2018/11/2,30318.80465341442
2018/11/5-2018/11/9,30318.80465341442
2018/11/12-2018/11/16,30318.80465341442
2018/11/19-2018/11/23,30318.80465341442
2018/11/26-2018/11/30,29415.304274742673
2018/12/3-2018/12/7,30499.58342736998
2018/12/10-2018/12/14,30499.58342736998
2018/12/17-2018/12/21,30499.58342736998
2019/1/3-2019/1/9,30499.58342736998
2019/1/10-2019/1/16,30499.58342736998
2019/1/17-2019/1/23,29590.695841234352
2019/1/24-2019/1/30,32253.231209336598
2019/1/31-2019/2/6,32253.231209336598
2019/2/7-2019/2/13,31292.084919298362
2019/2/14-2019/2/20,38526.14245055382
2019/2/21-2019/2/27,37378.06340552732
2019/2/28-2019/3/6,38866.070581522275
2019/3/7-2019/3/13,37707.861678192916
2019/3/14-2019/3/20,38798.69683690535
2019/3/21-2019/3/27,38798.69683690535
2019/3/28-2019/4/3,37642.495671165576
2019/4/4-2019/4/10,39340.48869937018
2019/4/11-2019/4/17,38168.14213612895
2019/4/18-2019/4/26,43652.067573792156
2019/4/30-2019/5/6,42351.235960093145
2019/5/7-2019/5/13,43667.94174892613
2019/5/14-2019/5/20,43667.94174892613
2019/5/21-2019/5/28,42366.637084808135
2019/5/29-2019/6/4,43449.26775389787
2019/6/5-2019/6/11,42154.47957483171
2019/6/12-2019/6/18,42247.071416415514
2019/6/19-2019/6/25,41824.60070225136
2019/6/26-2019/7/2,43688.5890821962
2019/7/3-2019/7/9,42386.66912754675
2019/7/10-2019/7/16,53236.433683797215
2019/7/17-2019/7/23,51649.98796002005
2019/7/24-2019/7/30,57382.990525860645
2019/7/31-2019/8/6,57382.990525860645
2019/8/7-2019/8/13,55672.977408189996
2019/8/14-2019/8/21,62187.86146584775
2019/8/22-2019/8/28,60334.663194165485
2019/8/29-2019/9/4,67244.06719050539
2019/9/5-2019/9/11,65240.19398822833
2019/9/12-2019/9/18,66152.46147194377
2019/9/19-2019/9/25,66152.46147194377
2019/9/26-2019/10/3,64181.118120079846
2019/10/4-2019/10/10,73262.81689001908
2019/10/11-2019/10/17,73262.81689001908
2019/10/18-2019/10/24,71079.58494669652
2019/10/25-2019/10/31,70587.46703538689
2019/11/1-2019/11/7,68483.96051773235
2019/11/8-2019/11/14,74806.07813654636
2019/11/15-2019/11/21,74806.07813654636
2019/11/22-2019/11/28,74806.07813654636
2019/11/29-2019/12/5,74806.07813654636
2019/12/6-2019/12/12,72576.85700807728
2019/12/13-2019/12/19,74004.93315181065
2019/12/20-2019/12/30,71799.58614388669
2020/1/8-2020/1/14,83523.42548217872
2020/1/15-2020/1/21,83523.42548217872
2020/1/22-2020/1/28,83523.42548217872
2020/1/29-2020/2/4,83523.42548217872
2020/2/5-2020/2/11,81034.4274028098
2020/2/12-2020/2/18,83620.0169402315
2020/2/19-2020/2/25,83620.0169402315
2020/2/26-2020/3/3,81128.1404354126
2020/3/4-2020/3/10,81994.31964931353
2020/3/11-2020/3/17,79550.88892376398
2020/3/18-2020/3/24,80061.02957703958
2020/3/25-2020/3/31,77675.21089564379
2020/4/1-2020/4/9,86287.23005444718
2020/4/13-2020/4/20,83715.87059882465
2020/4/21-2020/4/27,94278.9754380898
2020/4/28-2020/5/4,91469.46197003472
2020/5/5-2020/5/12,91442.22550648006
2020/5/13-2020/5/19,91442.22550648006
2020/5/20-2020/5/27,88717.24718638694
2020/5/28-2020/6/3,92506.00320010011
2020/6/4-2020/6/10,89749.32430473712
2020/6/11-2020/6/17,107531.33892751759
2020/6/18-2020/6/24,104326.90502747755
2020/6/25-2020/7/1,114503.7334603003
2020/7/2-2020/7/8,111091.52220318335
2020/7/9-2020/7/15,117019.75631506486
2020/7/16-2020/7/22,113532.56757687592
2020/7/23-2020/7/29,134951.73541797634
2020/7/30-2020/8/5,133602.21806379658
2020/8/6-2020/8/12,141075.17946036172
2020/8/13-2020/8/19,136871.13911244294
2020/8/20-2020/8/26,144622.32676855708
2020/8/27-2020/9/3,144622.32676855708
2020/9/4-2020/9/10,144622.32676855708
2020/9/11-2020/9/17,144622.32676855708
2020/9/18-2020/9/24,140312.58143085407
2020/9/25-2020/10/1,142292.86434768682
2020/10/5-2020/10/9,142292.86434768682
2020/10/12-2020/10/16,138052.53699012575
2020/10/19-2020/10/23,146069.46735446088
2020/10/26-2020/10/30,146069.46735446088
2020/11/2-2020/11/6,146069.46735446088
2020/11/9-2020/11/13,146069.46735446088
2020/11/16-2020/11/20,146069.46735446088
2020/11/23-2020/11/27,146069.46735446088
2020/11/30-2020/12/4,144608.77268091627
2020/12/7-2020/12/11,152599.97546048067
2020/12/14-2020/12/18,152599.97546048067
2020/12/21-2020/12/29,152599.97546048067
2020/12/30-2021/1/6,148052.49619175834
2021/1/7-2021/1/13,158588.41759550304
2021/1/14-2021/1/20,153862.48275115705
2021/1/21-2021/1/28,177713.07554379094
2021/1/29-2021/2/4,172417.22589258596
2021/2/5-2021/2/11,185270.43873638214
2021/2/12-2021/2/18,179749.37966203797
2021/2/19-2021/2/25,208890.30141160247
2021/2/26-2021/3/4,202665.3704295367
2021/3/5-2021/3/11,218924.84672142897
