date,moeny
2016/9/12-2016/9/16,1000.0
2016/9/19-2016/9/23,980.1
2016/9/26-2016/9/30,999.2197208807089
2016/10/3-2016/10/7,959.6506199338328
2016/10/10-2016/10/14,963.8306374796308
2016/10/17-2016/10/21,925.6629442354373
2016/10/24-2016/10/28,942.7353657849764
2016/10/31-2016/11/4,942.7353657849764
2016/11/7-2016/11/11,942.7353657849764
2016/11/14-2016/11/18,905.4030452998912
2016/11/21-2016/11/25,939.9287238798466
2016/11/28-2016/12/2,902.7075464142046
2016/12/5-2016/12/9,946.1217329079149
2016/12/12-2016/12/16,908.6553122847615
2016/12/28-2017/1/4,921.9869346271634
2017/1/5-2017/1/11,885.4762520159277
2017/1/12-2017/1/18,989.7573002031496
2017/1/19-2017/1/25,989.7573002031496
2017/1/27-2017/2/2,950.562911115105
2017/2/3-2017/2/9,1065.4512060775892
2017/2/10-2017/2/16,1023.2593383169166
2017/2/17-2017/2/23,1155.2392849404637
2017/2/24-2017/3/2,1109.4918092568212
2017/3/3-2017/3/9,1167.3441892917938
2017/3/10-2017/3/16,1121.1173593958388
2017/3/17-2017/3/23,1238.6148676201913
2017/3/24-2017/3/30,1238.6148676201913
2017/3/31-2017/4/6,1238.6148676201913
2017/4/7-2017/4/13,1189.5657188624316
2017/4/18-2017/4/24,1366.5892713622197
2017/4/25-2017/5/2,1366.5892713622197
2017/5/3-2017/5/9,1312.4723362162758
2017/5/10-2017/5/16,1391.0493426285154
2017/5/17-2017/5/23,1335.9637886604262
2017/5/24-2017/5/31,1539.283274786779
2017/6/1-2017/6/7,1478.3276571052224
2017/6/8-2017/6/14,1671.843801878356
2017/6/15-2017/6/21,1605.6387873239732
2017/6/22-2017/6/28,1842.2711197579433
2017/6/29-2017/7/5,1842.2711197579433
2017/7/6-2017/7/12,1769.3171834155287
2017/7/13-2017/7/19,1772.8291837049212
2017/7/20-2017/7/26,1702.6251480302062
2017/7/27-2017/8/2,1783.478105305594
2017/8/3-2017/8/9,1712.8523723354924
2017/8/10-2017/8/17,2506.0302766801474
2017/8/18-2017/8/24,2406.7914777236138
2017/8/25-2017/8/31,2850.8255220472606
2017/9/1-2017/9/7,2737.932831374189
2017/9/8-2017/9/14,2942.781686543366
2017/9/15-2017/9/21,2826.2475317562485
2017/9/22-2017/9/28,2976.352362549954
2017/9/29-2017/10/6,2976.352362549954
2017/10/9-2017/10/13,2976.352362549954
2017/10/16-2017/10/20,2858.4888089929755
2017/10/23-2017/10/27,3299.7172294429156
2017/10/30-2017/11/3,3169.048427156976
2017/11/6-2017/11/10,4011.6726717681895
2017/11/13-2017/11/17,4011.6726717681895
2017/11/20-2017/11/24,3852.810433966169
2017/11/27-2017/12/1,4610.5218634916755
2017/12/4-2017/12/8,4427.945197697405
2017/12/11-2017/12/15,6202.866111235887
2017/12/27-2018/1/3,5957.232613230945
2018/1/4-2018/1/10,7699.008458605341
2018/1/11-2018/1/17,7394.1277236445685
2018/1/18-2018/1/24,9587.082217896934
2018/1/25-2018/2/1,9587.082217896934
2018/2/2-2018/2/8,9207.433762068214
2018/2/9-2018/2/15,11151.137405319178
2018/2/16-2018/2/22,11151.137405319178
2018/2/23-2018/3/1,10709.552364068539
2018/3/2-2018/3/8,10640.802216874117
2018/3/9-2018/3/15,10640.802216874117
2018/3/16-2018/3/22,10219.426449085902
2018/3/23-2018/3/29,13578.406584810486
2018/4/3-2018/4/9,13040.70168405199
2018/4/10-2018/4/16,15372.160534536175
2018/4/17-2018/4/23,15372.160534536175
2018/4/24-2018/4/30,14763.422977368542
2018/5/1-2018/5/8,15569.004342135255
2018/5/9-2018/5/15,15569.004342135255
2018/5/16-2018/5/22,14952.4717701867
2018/5/23-2018/5/30,17771.573889882104
2018/5/31-2018/6/6,17771.573889882104
2018/6/7-2018/6/13,17067.81956384277
2018/6/14-2018/6/20,17608.792429324556
2018/6/21-2018/6/27,17608.792429324556
2018/6/28-2018/7/4,17608.792429324556
2018/7/5-2018/7/11,16911.484249123303
2018/7/12-2018/7/18,17543.918234004024
2018/7/19-2018/7/25,17543.918234004024
2018/7/26-2018/8/1,17543.918234004024
2018/8/2-2018/8/8,16849.179071937466
2018/8/9-2018/8/16,17407.0287303317
2018/8/17-2018/8/23,17407.0287303317
2018/8/24-2018/8/30,16717.710392610566
2018/8/31-2018/9/6,19934.658967984848
2018/9/7-2018/9/13,19934.658967984848
2018/9/14-2018/9/20,19934.658967984848
2018/9/21-2018/9/27,19145.246472852647
2018/9/28-2018/10/5,19427.160992241617
2018/10/8-2018/10/12,18657.84541694885
2018/10/15-2018/10/19,20069.076781631433
2018/10/22-2018/10/26,19274.341341078827
2018/10/29-2018/11/2,19997.813472913538
2018/11/5-2018/11/9,19997.813472913538
2018/11/12-2018/11/16,19997.813472913538
2018/11/19-2018/11/23,19997.813472913538
2018/11/26-2018/11/30,19205.90005938616
2018/12/3-2018/12/7,19913.849800355416
2018/12/10-2018/12/14,19913.849800355416
2018/12/17-2018/12/21,19913.849800355416
2019/1/3-2019/1/9,19913.849800355416
2019/1/10-2019/1/16,19913.849800355416
2019/1/17-2019/1/23,19125.26134826134
2019/1/24-2019/1/30,20846.12945616794
2019/1/31-2019/2/6,20846.12945616794
2019/2/7-2019/2/13,20020.62272970369
2019/2/14-2019/2/20,24648.960439119717
2019/2/21-2019/2/27,23672.861605730574
2019/2/28-2019/3/6,24615.26965837606
2019/3/7-2019/3/13,23640.504979904366
2019/3/14-2019/3/20,24324.391385924304
2019/3/21-2019/3/27,24324.391385924304
2019/3/28-2019/4/3,23361.1454870417
2019/4/4-2019/4/10,24414.929553709087
2019/4/11-2019/4/17,23448.098343382208
2019/4/18-2019/4/26,26817.076128873752
